instruction,response
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦੀ ਜਨਮ ਮਿਤੀ ਕੀ ਸੀ?,ਸਮੱਗਰੀ ਵਿੱਚ ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦੀ ਜਨਮ ਮਿਤੀ ਦਾ ਕੋਈ ਜ਼ਿਕਰ ਨਹੀਂ ਹੈ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦੀ ਮੌਤ ਕੀ ਸੀ?,ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ 62 ਸਾਲ ਦੀ ਉਮਰ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਏ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਜੀ ਦੀ ਯਾਦ ਵਿੱਚ ਬਣੇ ਗੁਰਦੁਆਰੇ ਦਾ ਕੀ ਨਾਮ ਸੀ?,ਗੁਰਦੁਆਰਾ ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਜੀ.
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦਾ ਜਨਮ ਕਿਸ ਪਿੰਡ ਵਿੱਚ ਹੋਇਆ ਸੀ?,ਕਿਹਾ ਜਾਂਦਾ ਹੈ ਕਿ ਪਿੰਡ ਡੇਹਲਾਨ ਦਾ ਜਨਮ ਹੋਇਆ ਸੀ। ਉਂਜ ਖੋਜ ਤੋਂ ਬਾਅਦ ਜ਼ਿਕਰ ਆਉਂਦਾ ਹੈ ਕਿ ਡੇਹਲਾ ਪਿੰਡ ਦਾ ਇੱਕ ਕਵੀ ਢਿੱਲੋਂ ਤੋਂ ਆਇਆ ਸੀ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦੀ ਉਮਰ ਕਿੰਨੀ ਸੀ ਜਦੋਂ ਉਹ ਘੋੜ ਸਵਾਰੀ ਅਤੇ ਨਿਸ਼ਾਨੇਬਾਜ਼ੀ ਵਿੱਚ ਮਾਹਰ ਹੋ ਗਿਆ ਸੀ?,ਉਹ 10-12 ਸਾਲ ਦੀ ਉਮਰ ਵਿੱਚ ਮਾਹਿਰ ਬਣ ਗਿਆ।
ਮਹਾਰਾਜਾ ਜਿੰਦਾਂ ਰੱਬ ਦੀ ਸ਼ਰਨ ਵਿੱਚ ਕਿਉਂ ਗਏ?,ਮਹਾਰਾਜਾ ਜਿੰਦਾਂ ਅੰਗਰੇਜ਼ਾਂ ਤੋਂ ਨਾਰਾਜ਼ ਸਨ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਰੱਬ ਦੀ ਸ਼ਰਨ ਵਿਚ ਕਿਉਂ ਸੀ?,"ਉਹ ਰੱਬ ਦੀ ਸ਼ਰਨ ਵਿੱਚ ਸੀ, ਪਰ ਮਹਾਰਾਜਾ ਜਿੰਦਾਂ ਤੋਂ ਬਿਨਾਂ ਕਿਸੇ ਹੋਰ ਕਾਰਨ ਨਹੀਂ।"
ਮਹਾਰਾਜਾ ਰਣਜੀਤ ਸਿੰਘ ਨੇ ਪਿਸ਼ਾਵਰ ਦੇ ਵਿਦਰੋਹ ਵਿੱਚ ਮੁਹੰਮਦ ਅਜ਼ੀਜ਼ ਖਾਨ ਨੂੰ ਕਿਸ ਯੂਨਿਟ ਨਾਲ ਹਰਾਇਆ ਸੀ?,"ਸਮੱਗਰੀ ਵਿੱਚ ਸਿੱਧੇ ਤੌਰ 'ਤੇ ਜ਼ਿਕਰ ਨਹੀਂ ਕੀਤਾ ਗਿਆ, ਪਰ ਅਕਾਲੀ ਫੂਲੇ ਦੀ ਅਗਵਾਈ ਵਾਲੀ (ਅਤੇ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ) ਸਮੁੱਚੀ ਸਿੱਖ ਫੌਜ ਹੋਣ ਦਾ ਸੰਕੇਤ ਹੈ।"
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦਾ ਗੁਰਦੁਆਰਾ ਕਿਸ ਸਾਲ ਬਣਾਇਆ ਗਿਆ ਸੀ?,ਸਮੱਗਰੀ 1965 ਦਾ ਜ਼ਿਕਰ ਕਰਦੀ ਹੈ ਜਦੋਂ ਗੁਰਦੁਆਰਾ ਬਣਾਇਆ ਗਿਆ ਸੀ।
ਕਿਨ੍ਹਾਂ ਹਾਲਾਤਾਂ ਵਿੱਚ ਸੈਣ ਬਾਬਾ ਫੱਗੇ ਦੀ ਫੌਜ (ਜੇ ਕੋਈ ਲਾਪਤਾ ਹੈ) ਅਤੇ ਜਨਰਲ ਗੁਲੇਲ ਡੋਗਰਿਆਂ ਵੱਲੋਂ ਪਰ ਮਦਦ ਸਰਦਾਰ ਮਹਾਰਾਜੇ ਨੇ ਕੀਤੀ ਸੀ।,ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਨੂੰ (ਡੋਗਰੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਸਿੱਖਾਂ) ਨੇ ਮਾਖੋਵਾਲ ਤੋਂ ਮਾਰਚ ਕਰਨ ਦਾ ਹੁਕਮ ਦਿੱਤਾ ਸੀ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਨੇ ਸ਼ਹੀਦੀ ਸਮੇਂ ਕਿੰਨੀਆਂ ਗੋਲੀਆਂ ਖਾਧੀਆਂ ਸਨ?,ਉਸ ਨੂੰ 7 ਗੋਲੀਆਂ ਲੱਗੀਆਂ।
ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਦਾ ਸ਼ਹੀਦੀ ਦਿਹਾੜਾ ਅਤੇ ਜਨਮ ਦਿਨ ਕਦੋਂ ਮਨਾਇਆ ਗਿਆ?,10 ਤੋਂ 14 ਮਾਰਚ ਤੱਕ ਸ਼ਹੀਦੀ ਦਿਹਾੜਾ ਅਤੇ 14 ਜਨਵਰੀ ਨੂੰ ਜਨਮ ਦਿਨ।
ਕੌਣ ਹੈ ਆਕਾਸ਼ਦੀਪ ਸਿੰਘ?,ਇੱਕ ਭਾਰਤੀ ਪੇਸ਼ੇਵਰ ਆਈਸ ਹਾਕੀ ਖਿਡਾਰੀ
ਅਕਾਸ਼ਦੀਪ ਸਿੰਘ ਕਿਸ ਅਹੁਦੇ 'ਤੇ ਖੇਡਦਾ ਹੈ?,ਅੱਗੇ ਦੀ ਸਥਿਤੀ
ਆਕਾਸ਼ਦੀਪ ਸਿੰਘ ਦੀ ਜਨਮ ਮਿਤੀ ਕੀ ਹੈ?,2 ਦਸੰਬਰ 1994
ਆਕਾਸ਼ਦੀਪ ਸਿੰਘ ਦਾ ਮੂਲ ਸਥਾਨ ਕੀ ਹੈ?,ਪੰਜਾਬ
ਅਕਾਸ਼ਦੀਪ ਸਿੰਘ ਭਾਰਤੀ ਰਾਸ਼ਟਰੀ ਹਾਕੀ ਟੀਮ ਵਿੱਚ ਕਦੋਂ ਸ਼ਾਮਲ ਹੋਏ?,2013
ਅਕਾਸ਼ਦੀਪ ਸਿੰਘ ਦੀ ਕੌਮੀਅਤ ਕੀ ਹੈ?,ਭਾਰਤੀ
ਅਚਿੰਤ ਕੌਰ ਦਾ ਜਨਮ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,"ਅਚਿੰਤ ਕੌਰ ਦਾ ਜਨਮ ਮੇਰਠ, ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਵਿੱਚ ਹੋਇਆ ਸੀ।"
ਅਚਿੰਤ ਕੌਰ ਨੇ ਕਿਹੜੇ ਭਾਰਤੀ ਸੋਪ ਓਪੇਰਾ ਵਿੱਚ ਮੁੱਖ ਭੂਮਿਕਾਵਾਂ ਨਿਭਾਈਆਂ ਹਨ?,ਅਚਿੰਤ ਕੌਰ ਨੇ ਏਕਤਾ ਕਪੂਰ ਦੇ ਭਾਰਤੀ ਸੋਪ ਓਪੇਰਾ ਕਿਉੰਕੀ ਸਾਸ ਭੀ ਕਭੀ ਬਹੂ ਥੀ ਅਤੇ ਕਹਾਣੀ ਘਰ ਘਰ ਕੀ ਵਿੱਚ ਮੁੱਖ ਭੂਮਿਕਾਵਾਂ ਨਿਭਾਈਆਂ।
ਅਚਿੰਤ ਕੌਰ ਨੇ ਕਿਸ ਫਿਲਮ ਦੇ ਹਿੰਦੀ ਸੰਸਕਰਣ ਲਈ ਆਵਾਜ਼ ਦਿੱਤੀ ਹੈ?,ਸ਼ੇਰ ਰਾਜਾ.
ਅਚਿੰਤ ਕੌਰ ਨੇ ਕਿਸ ਸੀਰੀਅਲ ਵਿੱਚ ਮਾਂ ਅਤੇ ਸੱਸ ਦੀਆਂ ਭੂਮਿਕਾਵਾਂ ਨਿਭਾਈਆਂ ਹਨ?,ਸੀਰੀਅਲ ਜਮਾਈ ਰਾਜਾ ਹੈ।
ਅਚਿੰਤ ਕੌਰ ਨੇ ਕਿੱਥੇ ਅਤੇ ਕਦੋਂ ਪੜ੍ਹਾਈ ਕੀਤੀ?,ਅਚਿੰਤ ਕੌਰ ਨੇ ਮੇਰਠ ਦੇ ਸੋਫੀਆ ਗਰਲਜ਼ ਸਕੂਲ ਤੋਂ ਪੜ੍ਹਾਈ ਕੀਤੀ।
